x[cm]	x'[mrad]            y[cm]           y'[mrad]		
-0.00475	-0.035752	0.04691	0.019154
0.06887	-0.029577	-0.10094	0.011309
-0.01232	-0.031885	0.02499	-0.041172
-0.03117	-0.01868	0.06853	-0.024758
-0.12254	0.0026152	-0.02881	0.0043372
0.06176	-0.0045653	-0.13491	0.022121
-0.06638	-0.034303	-0.01861	0.029242
-0.02628	0.0058934	-0.01645	0.0013347
-0.06197	-0.015311	-0.02215	0.03333
0.10306	-0.031575	-0.03427	0.0022078
-0.0232	0.00034981	-0.05879	-0.044013
0.01575	0.0043916	0.05767	-0.0011379
-0.02998	0.017278	0.02297	0.027967
-0.07448	0.0052552	-0.13988	-0.0019724
0.03016	0.020085	0.01498	0.0076255
0.02715	-0.041423	-0.05672	-0.018252
-0.03063	0.035766	-0.03286	-0.022357
0.05622	-0.034905	0.00452	-0.035397
0.0017	-0.040337	-0.08461	-0.017291
-0.07496	-0.041151	-0.0294	0.0082727
-0.06984	-0.029635	-0.03249	-0.022016
0.1541	-0.0076082	0.03172	-0.0090251
0.01541	-0.050659	0.03298	-0.0086763
0.08611	0.020072	0.01652	-0.031141
0.05906	-0.026759	0.04604	0.039017
0.0931	0.029806	-0.02265	-0.03344
-0.04603	0.025663	0.09898	0.023246
-0.05274	0.040812	-0.04188	-0.023816
-0.05687	0.017607	-0.04932	0.036999
